bound_scope,change_error_pp,method,observed_change,observed_target,operation,predicted_change,predicted_change_lower,predicted_change_upper,probability,reason,source_campaign_id,source_current_probability,status,target_campaign_id,target_error_pp,target_inputs_used_for_forecast,target_lower,target_upper
unrestricted target business-event law; not a confidence interval,,PMX_inclusive,,,add_to_cart,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/8,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/8,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gstar,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/8,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/8,,False,0,1
unrestricted target business-event law; not a confidence interval,,GID,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/8,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/8,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gselected,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/8,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/8,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_deadline,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/8,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/8,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_selection,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/8,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/8,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_completion,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/8,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/8,,False,0,1
unrestricted target business-event law; not a confidence interval,,G0,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/8,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/8,,False,0,1
unrestricted target business-event law; not a confidence interval,,B0,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/8,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/8,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/8,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/8,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX_inclusive,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/8,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/8,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gstar,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,GID,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gselected,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_deadline,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_selection,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_completion,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,G0,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,B0,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX_inclusive,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gstar,,,add_to_cart,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,GID,,,add_to_cart,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gselected,,,add_to_cart,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_deadline,,,add_to_cart,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_selection,,,add_to_cart,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_completion,,,add_to_cart,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,G0,,,add_to_cart,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,B0,,,add_to_cart,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX,,,add_to_cart,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX_inclusive,,,add_to_cart,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gstar,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,GID,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gselected,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_deadline,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_selection,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_completion,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,G0,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,B0,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX_inclusive,,,checkout,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/NC/9,,unsupported,v3-main-771601/opentelemetry_demo/colocated/NC/9,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gstar,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/ND/0,,unsupported,v3-main-771601/opentelemetry_demo/colocated/ND/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,GID,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/ND/0,,unsupported,v3-main-771601/opentelemetry_demo/colocated/ND/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gselected,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/ND/0,,unsupported,v3-main-771601/opentelemetry_demo/colocated/ND/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_deadline,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/ND/0,,unsupported,v3-main-771601/opentelemetry_demo/colocated/ND/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_selection,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/ND/0,,unsupported,v3-main-771601/opentelemetry_demo/colocated/ND/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_completion,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/ND/0,,unsupported,v3-main-771601/opentelemetry_demo/colocated/ND/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,G0,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/ND/0,,unsupported,v3-main-771601/opentelemetry_demo/colocated/ND/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,B0,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/ND/0,,unsupported,v3-main-771601/opentelemetry_demo/colocated/ND/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/ND/0,,unsupported,v3-main-771601/opentelemetry_demo/colocated/ND/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX_inclusive,,,browse_product,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/ND/0,,unsupported,v3-main-771601/opentelemetry_demo/colocated/ND/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gstar,,,add_to_cart,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/ND/0,,unsupported,v3-main-771601/opentelemetry_demo/colocated/ND/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,GID,,,add_to_cart,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/ND/0,,unsupported,v3-main-771601/opentelemetry_demo/colocated/ND/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gselected,,,add_to_cart,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/ND/0,,unsupported,v3-main-771601/opentelemetry_demo/colocated/ND/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_deadline,,,add_to_cart,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/ND/0,,unsupported,v3-main-771601/opentelemetry_demo/colocated/ND/0,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_selection,,,add_to_cart,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/opentelemetry_demo/split/ND/0,,unsupported,v3-main-771601/opentelemetry_demo/colocated/ND/0,,False,0,1
